LOCUS	PFAM_CODE	DOMAINE	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
BC1G_00033	PF01145.17	SPFH domain / Band 7 family	63013	63586	574	260.5	0.0
BC1G_00033	PF01145.20	SPFH domain / Band 7 family	63019	63586	568	107.8	5.0E-31
BC1G_00033	PF01145.17	SPFH domain / Band 7 family	63019	63586	568	176.6199951171875	0.0
BC1G_00033	PF01145.17	SPFH domain / Band 7 family	63013	63586	574	260.5	0.0
BC1G_00035	PF09324.5	Domain of unknown function (DUF1981)	67078	67362	285	27.3	1.6E-6
BC1G_00035	PF12783.2	Guanine nucleotide exchange factor in Golgi transport N-terminal	68947	69423	477	140.2	3.6E-41
BC1G_00036	PF00179.18	Ubiquitin-conjugating enzyme	70533	71155	623	18.100000381469727	1.6000000186977559E-6
BC1G_00036	PF00179.21	Ubiquitin-conjugating enzyme	70533	71155	623	64.6	5.3E-18
BC1G_00036	PF00179.18	Ubiquitin-conjugating enzyme	70533	71155	623	18.139999389648438	1.9999999949504854E-6
BC1G_00036	PF00179.18	Ubiquitin-conjugating enzyme	70533	71155	623	18.100000381469727	1.6000000186977559E-6
BC1G_00044	PF09219.1	Domain of unknown function (DUF1960)	88405	88906	502	167.60000610351562	0.0
BC1G_00044	PF09219.1	Domain of unknown function (DUF1960)	88405	88906	502	167.60000610351562	0.0
BC1G_00044	PF01172.10	Shwachman-Bodian-Diamond syndrome (SBDS) protein	88414	88918	505	117.2699966430664	4.699999927917479E-32
BC1G_00044	PF01172.13	Shwachman-Bodian-Diamond syndrome (SBDS) protein	88414	88918	505	88.2	2.0E-25
BC1G_00045	PF07047.4	Optic atrophy 3 protein (OPA3)	91176	91759	584	4.139999866485596	3.000000106112566E-6
BC1G_00045	PF07047.7	Optic atrophy 3 protein (OPA3)	91164	91759	596	99.7	9.5E-29
BC1G_00046	PF00659.13	POLO box duplicated region	95394	95633	240	44.5	1.0E-11
BC1G_00046	PF07714.12	Protein tyrosine kinase	93064	93956	893	102.0	2.5E-29
BC1G_00046	PF00069.20	Protein kinase domain	93205	93965	761	183.1	4.7E-54
BC1G_00046	PF00069.17	Protein kinase domain	93064	93965	902	226.10000610351562	0.0
BC1G_00046	PF00069.17	Protein kinase domain	93064	93965	902	226.11000061035156	0.0
BC1G_00046	PF07714.9	Protein tyrosine kinase	93064	93965	902	12.15999984741211	3.7999998655537104E-13
BC1G_00046	PF00069.17	Protein kinase domain	93064	93965	902	226.10000610351562	0.0
BC1G_00047	PF01384.15	Phosphate transporter family	97054	98907	1854	387.9	2.2E-116
BC1G_00047	PF01384.12	Phosphate transporter family	97054	98907	1854	574.5999755859375	0.0
BC1G_00047	PF01384.12	Phosphate transporter family	97054	98907	1854	574.5999755859375	0.0
BC1G_00047	PF01384.12	Phosphate transporter family	97054	98907	1854	574.530029296875	0.0
BC1G_00048	PF00264.12	Common central domain of tyrosinase	102642	104212	1571	31.0	3.7999998980797756E-11
BC1G_00048	PF00264.12	Common central domain of tyrosinase	102642	104212	1571	31.0	3.7999998980797756E-11
BC1G_00048	PF00264.12	Common central domain of tyrosinase	102615	104212	1598	40.5	9.9999998245167E-14
BC1G_00048	PF00264.15	Common central domain of tyrosinase	102881	104026	1146	174.8	2.5E-51
BC1G_00049	PF04909.9	Amidohydrolase	105956	106852	897	148.2	2.9E-43
BC1G_00049	PF04909.6	Amidohydrolase	105956	106852	897	148.6699981689453	1.6000025865660761E-41
BC1G_00049	PF04909.6	Amidohydrolase	105956	106852	897	147.89999389648438	2.5999691707082656E-41
BC1G_00049	PF04909.6	Amidohydrolase	105956	106852	897	147.89999389648438	2.5999691707082656E-41
BC1G_00050	PF00070.22	Pyridine nucleotide-disulphide oxidoreductase	109447	109599	153	24.3	2.7E-5
BC1G_00050	PF01266.19	FAD dependent oxidoreductase	109348	109599	252	35.9	3.5E-9
BC1G_00050	PF00890.19	FAD binding domain	109381	109599	219	23.1	2.6E-5
BC1G_00050	PF01494.11	FAD binding domain	108353	109605	1253	-80.0	5.599999894911889E-6
BC1G_00050	PF13450.1	NAD(P)-binding Rossmann-like domain	109411	109590	180	36.9	2.4E-9
BC1G_00050	PF01494.11	FAD binding domain	108353	109605	1253	-80.0	5.599999894911889E-6
BC1G_00050	PF01266.16	FAD dependent oxidoreductase	108644	109599	956	-29.399999618530273	4.799999878741801E-4
BC1G_00050	PF01494.14	FAD binding domain	108353	109605	1253	65.4	4.2E-18
BC1G_00050	PF01266.16	FAD dependent oxidoreductase	108644	109599	956	-29.399999618530273	4.799999878741801E-4
BC1G_00051	PF00172.10	Fungal Zn(2)-Cys(6) binuclear cluster domain	110564	110683	120	42.380001068115234	1.6000000213622911E-9
BC1G_00051	PF04082.10	Fungal specific transcription factor domain	111577	111905	329	57.70000076293945	3.899999897680195E-14
BC1G_00051	PF04082.10	Fungal specific transcription factor domain	111577	111905	329	57.65999984741211	4.099999961933165E-14
BC1G_00051	PF00172.10	Fungal Zn(2)-Cys(6) binuclear cluster domain	110564	110683	120	42.400001525878906	1.6000000213622911E-9
BC1G_00051	PF04082.10	Fungal specific transcription factor domain	111577	111905	329	57.70000076293945	3.899999897680195E-14
BC1G_00051	PF00172.10	Fungal Zn(2)-Cys(6) binuclear cluster domain	110564	110683	120	42.400001525878906	1.6000000213622911E-9
BC1G_00051	PF04082.13	Fungal specific transcription factor domain	111254	112274	1021	66.6	1.4E-18
BC1G_00051	PF00172.13	Fungal Zn(2)-Cys(6) binuclear cluster domain	110564	110683	120	29.9	3.3E-7
BC1G_00052	PF12051.3	Protein of unknown function (DUF3533)	113341	114319	979	187.2	3.5E-55
BC1G_00053	PF01997.8	Translin family	121494	122250	757	105.9000015258789	1.2000000038052922E-28
BC1G_00053	PF01997.11	Translin family	121494	122250	757	196.8	2.4E-58
BC1G_00053	PF01997.8	Translin family	121494	122250	757	105.9000015258789	1.2000000038052922E-28
BC1G_00053	PF01997.8	Translin family	121494	122250	757	105.9000015258789	1.2000000038052922E-28
BC1G_00055	PF05007.8	Mannosyltransferase (PIG-M)	124091	124381	291	103.8	1.0E-29
BC1G_00057	PF08588.2	Protein of unknown function (DUF1769)	129110	129277	168	119.5999984741211	8.699999729012803E-33
BC1G_00057	PF08588.5	Protein of unknown function (DUF1769)	129110	129277	168	104.0	2.6E-30
BC1G_00057	PF08588.2	Protein of unknown function (DUF1769)	129110	129277	168	119.62999725341797	9.099999885446489E-33
BC1G_00057	PF08588.2	Protein of unknown function (DUF1769)	129110	129277	168	119.5999984741211	8.699999729012803E-33
BC1G_00058	PF13418.1	Galactose oxidase, central domain	132031	132285	255	41.5	7.6E-11
BC1G_00059	PF00578.16	AhpC/TSA family	135042	135516	475	115.1	1.3E-33
BC1G_00059	PF08534.2	Redoxin	134979	135519	541	27.84000015258789	3.600000127335079E-5
BC1G_00059	PF08534.5	Redoxin	134997	135519	523	49.9	2.1E-13
BC1G_00059	PF00578.13	AhpC/TSA family	135042	135516	475	153.1699981689453	7.300764999132297E-43
BC1G_00059	PF00578.13	AhpC/TSA family	135042	135516	475	148.10000610351562	2.400003879849114E-41
BC1G_00059	PF08534.2	Redoxin	134979	135519	541	27.799999237060547	3.400000059627928E-5
BC1G_00059	PF10417.4	C-terminal domain of 1-Cys peroxiredoxin	134868	134984	117	39.0	4.1E-10
BC1G_00059	PF08534.2	Redoxin	134979	135519	541	27.799999237060547	3.400000059627928E-5
BC1G_00059	PF00578.13	AhpC/TSA family	135042	135516	475	148.10000610351562	2.400003879849114E-41
BC1G_00060	PF07690.11	Major Facilitator Superfamily	137932	138650	719	89.4	1.6E-25
BC1G_00060	PF07690.11	Major Facilitator Superfamily	138696	139483	788	89.4	1.6E-25
BC1G_00060	PF07690.8	Major Facilitator Superfamily	137932	139483	1552	91.29000091552734	3.0999999126671725E-24
BC1G_00060	PF07690.8	Major Facilitator Superfamily	137932	139507	1576	96.69999694824219	6.99999976701182E-26
BC1G_00060	PF07690.8	Major Facilitator Superfamily	137932	139507	1576	96.69999694824219	6.99999976701182E-26
BC1G_00061	PF04117.4	Mpv17 / PMP22 family	141067	141270	204	87.80000305175781	3.2000000625327404E-23
BC1G_00061	PF04117.7	Mpv17 / PMP22 family	141067	141261	195	83.4	5.5E-24
BC1G_00061	PF04117.4	Mpv17 / PMP22 family	141067	141270	204	87.80000305175781	3.2000000625327404E-23
BC1G_00061	PF04117.4	Mpv17 / PMP22 family	141067	141270	204	87.83999633789062	3.3999999678334235E-23
BC1G_00062	PF01652.10	Eukaryotic initiation factor 4E	142377	143211	835	286.20001220703125	0.0
BC1G_00062	PF01652.13	Eukaryotic initiation factor 4E	142473	143160	688	208.0	5.5E-62
BC1G_00062	PF01652.10	Eukaryotic initiation factor 4E	142377	143211	835	286.2099914550781	0.0
BC1G_00062	PF01652.10	Eukaryotic initiation factor 4E	142377	143211	835	286.20001220703125	0.0
BC1G_00063	PF00501.20	AMP-binding enzyme	144405	145564	1160	95.0999984741211	2.199999944383646E-25
BC1G_00063	PF00501.20	AMP-binding enzyme	144405	145564	1160	95.05999755859375	2.2999998970339874E-25
BC1G_00063	PF00501.23	AMP-binding enzyme	144405	145567	1163	190.7	2.4E-56
BC1G_00063	PF00501.20	AMP-binding enzyme	144405	145564	1160	95.0999984741211	2.199999944383646E-25
BC1G_00064	PF01722.13	BolA-like protein	146687	147002	316	101.8	1.2E-29
BC1G_00064	PF01722.10	BolA-like protein	146690	147002	313	82.76000213623047	1.0999999650920748E-21
BC1G_00064	PF01722.10	BolA-like protein	146690	147002	313	82.0999984741211	1.6999999460513883E-21
BC1G_00064	PF01722.10	BolA-like protein	146690	147002	313	82.0999984741211	1.6999999460513883E-21
BC1G_00065	PF03959.5	Serine hydrolase (FSH1)	147464	148165	702	-53.400001525878906	5.799999926239252E-4
BC1G_00065	PF03959.5	Serine hydrolase (FSH1)	147464	148165	702	-53.400001525878906	5.799999926239252E-4
BC1G_00065	PF03959.8	Serine hydrolase (FSH1)	147500	148165	666	102.6	1.7E-29
BC1G_00069	PF01336.17	OB-fold nucleic acid binding domain	155995	156258	264	22.600000381469727	0.00139999995008111
BC1G_00069	PF00152.12	tRNA synthetases class II (D, K and N)	154320	155880	1561	481.29998779296875	0.0
BC1G_00069	PF01336.17	OB-fold nucleic acid binding domain	155995	156258	264	22.600000381469727	0.00139999995008111
BC1G_00069	PF00152.12	tRNA synthetases class II (D, K and N)	154320	155880	1561	481.29998779296875	0.0
BC1G_00069	PF00152.12	tRNA synthetases class II (D, K and N)	154320	155880	1561	481.05999755859375	0.0
BC1G_00069	PF01336.17	OB-fold nucleic acid binding domain	155995	156258	264	22.729999542236328	0.0013389999512583017
BC1G_00069	PF00152.15	tRNA synthetases class II (D, K and N)	154320	155877	1558	353.8	6.2E-106
BC1G_00069	PF01336.20	OB-fold nucleic acid binding domain	155914	156258	345	24.5	1.6E-5
BC1G_00071	PF01417.12	ENTH domain	158712	159297	586	12.569999694824219	1.9999999949504854E-6
BC1G_00071	PF07651.11	ANTH domain	158712	159818	1107	235.1	5.3E-70
BC1G_00071	PF01417.15	ENTH domain	158712	159279	568	35.9	5.2E-9
BC1G_00071	PF07651.8	ANTH domain	158712	159818	1107	325.70001220703125	0.0
BC1G_00071	PF01417.12	ENTH domain	158712	159297	586	12.600000381469727	1.9000000293090125E-6
BC1G_00071	PF07651.8	ANTH domain	158712	159818	1107	325.70001220703125	0.0
BC1G_00071	PF01417.12	ENTH domain	158712	159297	586	12.600000381469727	1.9000000293090125E-6
BC1G_00071	PF07651.8	ANTH domain	158712	159818	1107	326.6199951171875	0.0
BC1G_00072	PF06391.5	CDK-activating kinase assembly factor MAT1	161605	162219	615	96.19999694824219	9.799999920335581E-26
BC1G_00072	PF06391.5	CDK-activating kinase assembly factor MAT1	161605	162219	615	96.19999694824219	9.799999920335581E-26
BC1G_00072	PF00097.20	Zinc finger, C3HC4 type (RING finger)	162238	162369	132	23.8	2.2E-5
BC1G_00072	PF06391.8	CDK-activating kinase assembly factor MAT1	161620	162219	600	122.4	1.5E-35
BC1G_00072	PF00097.17	Zinc finger, C3HC4 type (RING finger)	162229	162369	141	11.670000076293945	0.004251000005751848
BC1G_00072	PF06391.5	CDK-activating kinase assembly factor MAT1	161605	162219	615	106.37000274658203	8.89999972729603E-29
BC1G_00073	PF04969.8	CS domain	162905	163212	308	82.19999694824219	1.600000050199032E-21
BC1G_00073	PF04969.8	CS domain	162905	163212	308	82.19999694824219	1.600000050199032E-21
BC1G_00073	PF04969.8	CS domain	162905	163212	308	82.22000122070312	1.6999999460513883E-21
BC1G_00073	PF04969.11	CS domain	162905	163212	308	67.9	7.4E-19
BC1G_00074	PF05817.9	Oligosaccharyltransferase subunit Ribophorin II	163779	164750	972	87.7	4.7E-25
BC1G_00075	PF00067.14	Cytochrome P450	167406	169463	2058	40.70000076293945	7.900000098537419E-13
BC1G_00075	PF00067.14	Cytochrome P450	167406	169463	2058	40.70000076293945	7.900000098537419E-13
BC1G_00075	PF00067.14	Cytochrome P450	167406	169463	2058	36.650001525878906	2.499999956129175E-15
BC1G_00075	PF00067.17	Cytochrome P450	167430	169463	2034	172.4	1.1E-50
BC1G_00077	PF02668.8	Taurine catabolism dioxygenase TauD, TfdA family	172529	173651	1123	47.29999923706055	5.099999936253319E-11
BC1G_00077	PF02668.8	Taurine catabolism dioxygenase TauD, TfdA family	172529	173651	1123	47.29999923706055	5.099999936253319E-11
BC1G_00077	PF02668.8	Taurine catabolism dioxygenase TauD, TfdA family	172535	173651	1117	43.720001220703125	6.399999974426862E-10
BC1G_00077	PF02668.11	Taurine catabolism dioxygenase TauD, TfdA family	172514	173624	1111	192.3	1.0E-56
BC1G_00078	PF01734.14	Patatin-like phospholipase	175823	176416	594	107.0	5.499999716514369E-29
BC1G_00078	PF01734.17	Patatin-like phospholipase	175823	176413	591	80.2	1.7E-22
BC1G_00078	PF11815.3	Domain of unknown function (DUF3336)	175430	175792	363	115.1	1.6E-33
BC1G_00078	PF01734.14	Patatin-like phospholipase	175823	176416	594	107.08999633789062	5.400000017123815E-29
BC1G_00078	PF01734.14	Patatin-like phospholipase	175823	176416	594	107.0	5.499999716514369E-29
BC1G_00079	PF04095.11	Nicotinate phosphoribosyltransferase (NAPRTase) family	178809	179180	372	181.8	1.1E-53
BC1G_00079	PF04095.8	Nicotinate phosphoribosyltransferase (NAPRTase) family	178809	179675	867	213.10000610351562	0.0
BC1G_00079	PF04095.8	Nicotinate phosphoribosyltransferase (NAPRTase) family	178809	179675	867	213.3000030517578	0.0
BC1G_00079	PF04095.8	Nicotinate phosphoribosyltransferase (NAPRTase) family	178809	179675	867	213.3000030517578	0.0
BC1G_00079	PF04095.11	Nicotinate phosphoribosyltransferase (NAPRTase) family	179208	179675	468	181.8	1.1E-53
BC1G_00080	PF05891.7	AdoMet dependent proline di-methyltransferase	181822	182211	390	21.9	8.0E-5
BC1G_00080	PF08242.4	Methyltransferase domain	181837	182139	303	61.599998474121094	2.499999956129175E-15
BC1G_00080	PF08241.4	Methyltransferase domain	181831	182139	309	37.0	6.700000199089118E-8
BC1G_00080	PF08242.4	Methyltransferase domain	181837	182139	303	61.599998474121094	2.499999956129175E-15
BC1G_00080	PF08241.7	Methyltransferase domain	181831	182139	309	35.9	6.9E-9
BC1G_00080	PF13847.1	Methyltransferase domain	181729	182157	429	39.5	3.4E-10
BC1G_00080	PF12847.2	Methyltransferase domain	181828	182154	327	39.1	8.1E-10
BC1G_00080	PF08241.4	Methyltransferase domain	181831	182139	309	37.0	6.700000199089118E-8
BC1G_00080	PF08242.7	Methyltransferase domain	181837	182139	303	44.7	1.2E-11
BC1G_00080	PF08241.4	Methyltransferase domain	181831	182139	309	36.709999084472656	8.300000331473711E-8
BC1G_00080	PF08242.4	Methyltransferase domain	181837	182139	303	61.11000061035156	3.700000002833815E-15
BC1G_00080	PF13649.1	Methyltransferase domain	181843	182142	300	34.0	2.6E-8
BC1G_00080	PF13659.1	Methyltransferase domain	181825	182151	327	33.2	3.9E-8
BC1G_00080	PF05175.9	Methyltransferase small domain	181816	182193	378	28.6	7.0E-7
BC1G_00080	PF13489.1	Methyltransferase domain	181531	182196	666	27.5	1.9E-6
BC1G_00080	PF01209.13	ubiE/COQ5 methyltransferase family	181792	182190	399	26.8	2.3E-6
BC1G_00081	PF01063.11	Aminotransferase class IV	184470	186300	1831	268.70001220703125	0.0
BC1G_00081	PF01063.14	Aminotransferase class IV	184671	186249	1579	80.1	1.4E-22
BC1G_00081	PF01063.11	Aminotransferase class IV	184470	186300	1831	268.8299865722656	0.0
BC1G_00081	PF01063.11	Aminotransferase class IV	184470	186300	1831	268.70001220703125	0.0
BC1G_00082	PF00262.13	Calreticulin family	187291	188515	1225	526.4	0.0
BC1G_00082	PF00262.10	Calreticulin family	187291	188515	1225	658.97998046875	0.0
BC1G_00082	PF00262.10	Calreticulin family	187291	188515	1225	653.7000122070312	0.0
BC1G_00082	PF00262.10	Calreticulin family	187291	188515	1225	653.7000122070312	0.0
BC1G_00083	PF00596.13	Class II Aldolase and Adducin N-terminal domain	190092	190859	768	162.8300018310547	1.401298464324817E-45
BC1G_00083	PF00596.13	Class II Aldolase and Adducin N-terminal domain	190092	190871	780	163.3000030517578	0.0
BC1G_00083	PF00596.13	Class II Aldolase and Adducin N-terminal domain	190092	190871	780	163.3000030517578	0.0
BC1G_00083	PF00596.16	Class II Aldolase and Adducin N-terminal domain	190092	190817	726	148.2	1.8E-43
BC1G_00085	PF09766.4	Fms-interacting protein	194005	194642	638	95.9	2.1E-27
BC1G_00086	PF00551.11	Formyl transferase	195162	196374	1213	62.400001525878906	1.4999999525016814E-15
BC1G_00086	PF00551.11	Formyl transferase	195162	196374	1213	62.400001525878906	1.4999999525016814E-15
BC1G_00086	PF00551.11	Formyl transferase	195162	196374	1213	65.83999633789062	1.4000000103724471E-16
BC1G_00086	PF00551.14	Formyl transferase	195150	196374	1225	104.3	4.7E-30
BC1G_00087	PF11274.3	Protein of unknown function (DUF3074)	196751	197400	650	159.9	4.6E-47
BC1G_00088	PF00885.11	6,7-dimethyl-8-ribityllumazine synthase	198537	199389	853	143.6999969482422	5.000001076526666E-40
BC1G_00088	PF00885.11	6,7-dimethyl-8-ribityllumazine synthase	198537	199389	853	143.6999969482422	5.000001076526666E-40
BC1G_00088	PF00885.11	6,7-dimethyl-8-ribityllumazine synthase	198537	199389	853	143.57000732421875	5.599995039996623E-40
BC1G_00088	PF00885.14	6,7-dimethyl-8-ribityllumazine synthase	198537	199026	490	150.3	2.5E-44
BC1G_00088	PF00885.14	6,7-dimethyl-8-ribityllumazine synthase	199078	199389	312	150.3	2.5E-44
BC1G_00092	PF01545.13	Cation efflux family	209128	210110	983	99.0999984741211	1.2999999391222643E-26
BC1G_00092	PF01545.16	Cation efflux family	209137	210110	974	104.4	4.9E-30
BC1G_00092	PF01545.13	Cation efflux family	209128	210110	983	102.48999786376953	1.300000016159462E-27
BC1G_00092	PF01545.13	Cation efflux family	209128	210110	983	99.0999984741211	1.2999999391222643E-26
BC1G_00093	PF00096.21	Zinc finger, C2H2 type	215502	215570	69	39.7	3.3E-10
BC1G_00093	PF00096.21	Zinc finger, C2H2 type	215586	215654	69	39.7	3.3E-10
BC1G_00093	PF13894.1	C2H2-type zinc finger	215502	215573	72	32.4	5.9E-8
BC1G_00093	PF13894.1	C2H2-type zinc finger	215586	215657	72	32.4	5.9E-8
BC1G_00093	PF12874.2	Zinc-finger of C2H2 type	215502	215573	72	24.2	2.4E-5
BC1G_00093	PF13465.1	Zinc-finger double domain	215544	215621	78	45.8	3.5E-12
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215586	215654	69	61.36000061035156	3.099999979481495E-15
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215502	215570	69	61.36000061035156	3.099999979481495E-15
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215586	215654	69	25.899999618530273	1.4000000373926014E-4
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215502	215570	69	35.5	1.8999999440438842E-7
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215586	215654	69	25.899999618530273	1.4000000373926014E-4
BC1G_00093	PF00096.18	Zinc finger, C2H2 type	215502	215570	69	35.5	1.8999999440438842E-7
BC1G_00094	PF00107.18	Zinc-binding dehydrogenase	216993	217454	462	31.899999618530273	2.300000005561742E-6
BC1G_00094	PF08240.4	Alcohol dehydrogenase GroES-like domain	217648	217965	318	33.08000183105469	9.999999974752427E-7
BC1G_00094	PF00107.18	Zinc-binding dehydrogenase	216981	217454	474	20.020000457763672	1.5999999959603883E-5
BC1G_00094	PF00107.21	Zinc-binding dehydrogenase	217110	217418	309	47.9	7.9E-13
BC1G_00094	PF08240.7	Alcohol dehydrogenase GroES-like domain	217681	217965	285	29.9	3.3E-7
BC1G_00094	PF08240.4	Alcohol dehydrogenase GroES-like domain	217648	217965	318	32.599998474121094	4.999999987376214E-7
BC1G_00094	PF00107.18	Zinc-binding dehydrogenase	216993	217454	462	31.899999618530273	2.300000005561742E-6
BC1G_00094	PF08240.4	Alcohol dehydrogenase GroES-like domain	217648	217965	318	32.599998474121094	4.999999987376214E-7
BC1G_00097	PF11927.3	Protein of unknown function (DUF3445)	230317	231084	768	253.7	1.5E-75
BC1G_00098	PF12697.2	Alpha/beta hydrolase family	232467	233222	756	33.3	3.8E-8
BC1G_00099	PF13921.1	Myb-like DNA-binding domain	237862	238050	189	23.4	4.3E-5
BC1G_00100	PF08241.7	Methyltransferase domain	239423	239908	486	24.3	2.8E-5
BC1G_00100	PF08241.4	Methyltransferase domain	239420	239908	489	12.699999809265137	0.005400000140070915
BC1G_00103	PF05225.8	helix-turn-helix, Psq domain	246040	246171	132	69.5999984741211	9.90000031913883E-18
